timeStamp;roomX;roomZ;roomAngle;agentId;agentX;agentZ;agentLookX;agentLookZ;targetId;targetName;distanceToTarget
3.313668;0;0;0.06736971;8;-0.38868;-4.084033;-0.7769433;-0.6295703;3;Forest;18.04136
3.313668;0;0;0.06736971;9;-3.698272;-1.97986;-0.671643;-0.7408746;3;Forest;17.35252
3.313668;0;0;0.06736971;10;-2.763169;0.3143911;-0.6598954;0.7513572;2;Violet;18.99135
3.313668;0;0;0.06736971;11;-1.750091;-2.529454;-0.7361736;-0.6767924;3;Forest;18.16018
3.313668;0;0;0.06736971;12;-3.878414;-2.372476;-0.6863669;-0.7272552;3;Forest;16.92959
3.313668;0;0;0.06736971;13;-1.255647;-1.662056;-0.7283357;-0.6852204;3;Forest;19.13598
3.313668;0;0;0.06736971;14;-2.729506;0.4085917;-0.6099861;0.792412;2;Violet;18.94731
3.33903;0;0;0.06736971;0;-2.263179;2.66643;-0.6960592;0.7179841;2;Violet;17.76214
3.33903;0;0;0.06736971;1;2.387718;2.874977;0.7366445;0.67628;7;Brick;17.47742
3.33903;0;0;0.06736971;2;1.384039;-2.958212;0.7585881;-0.6515703;6;GoldenRod;18.27221
3.33903;0;0;0.06736971;3;0.1640654;4.660216;0.7841383;0.620586;7;Brick;17.83996
3.33903;0;0;0.06736971;4;-1.481889;-1.423788;-0.7365764;-0.6763541;3;Forest;19.16685
3.33903;0;0;0.06736971;5;3.139219;-1.70899;0.6931112;-0.7208304;6;GoldenRod;17.74178
3.33903;0;0;0.06736971;6;-1.882931;4.764616;-0.7709205;0.6369312;2;Violet;16.82536
3.33903;0;0;0.06736971;7;1.263721;0.4718962;0.6517044;0.7584729;7;Brick;20.03668
3.33903;0;0;0.06736971;8;-0.38868;-4.084033;-0.8262419;-0.5633152;3;Forest;18.04136
3.33903;0;0;0.06736971;9;-3.698272;-1.97986;-0.6383461;-0.7697492;3;Forest;17.35252
3.33903;0;0;0.06736971;10;-2.763169;0.3143911;-0.6092712;0.7929618;2;Violet;18.99135
3.33903;0;0;0.06736971;11;-1.750091;-2.529454;-0.7560664;-0.6544947;3;Forest;18.16018
3.33903;0;0;0.06736971;12;-3.878414;-2.372476;-0.6184047;-0.7858595;3;Forest;16.92959
3.33903;0;0;0.06736971;13;-1.255647;-1.662056;-0.7136763;-0.7004755;3;Forest;19.13598
3.33903;0;0;0.06736971;14;-2.729506;0.4085917;-0.6126766;0.7903335;2;Violet;18.94731
3.360173;0;0;0.06736971;0;-2.263179;2.66643;-0.6895974;0.7241928;2;Violet;17.76214
3.360173;0;0;0.06736971;1;2.387718;2.874977;0.6928611;0.7210708;7;Brick;17.47742
3.360173;0;0;0.06736971;2;1.384039;-2.958212;0.7403116;-0.6722636;6;GoldenRod;18.27221
