timeStamp;roomX;roomZ;roomAngle;targetId;targetX;targetZ;targetAngle;distanceToTarget;targetAttentionCount
26.04442;24.50945;-13.54533;2.852812;3;38.29763;-9.755907;-0.2494341;39.52071;0
26.04442;24.50945;-13.54533;2.852812;4;48.40105;-28.40767;5.752437;56.12181;0
26.04442;24.50945;-13.54533;2.852812;5;28.19363;8.901357;0.3058177;29.56544;0
26.04442;24.50945;-13.54533;2.852812;6;9.571664;-1.215188;-0.1262812;9.648494;11
26.04442;24.50945;-13.54533;2.852812;7;0.9868891;-29.98114;4.745294;29.99738;0
26.07117;24.53992;-13.64791;2.852812;0;11.09537;-48.72999;4.936263;49.97718;0
26.07117;24.53992;-13.64791;2.852812;1;-9.137956;-11.44246;4.038502;14.6435;1
26.07117;24.53992;-13.64791;2.852812;2;29.74926;-38.62155;5.368741;48.75082;0
26.07117;24.53992;-13.64791;2.852812;3;38.29763;-9.859688;-0.2519771;39.54646;0
26.07117;24.53992;-13.64791;2.852812;4;48.40105;-28.51146;5.750844;56.17442;0
26.07117;24.53992;-13.64791;2.852812;5;28.19366;8.797512;0.3024645;29.53437;0
26.07117;24.53992;-13.64791;2.852812;6;9.571548;-1.319435;-0.1369863;9.662061;11
26.07117;24.53992;-13.64791;2.852812;7;0.9868867;-30.0849;4.745181;30.10109;0
26.09686;24.56918;-13.74641;2.852812;0;11.09536;-48.83697;4.935789;50.0815;0
26.09686;24.56918;-13.74641;2.852812;1;-9.137762;-11.54941;4.043044;14.72711;1
26.09686;24.56918;-13.74641;2.852812;2;29.74925;-38.72854;5.367404;48.83562;0
26.09686;24.56918;-13.74641;2.852812;3;38.29759;-9.966827;-0.2545993;39.57326;0
26.09686;24.56918;-13.74641;2.852812;4;48.40103;-28.6185;5.749203;56.2288;0
26.09686;24.56918;-13.74641;2.852812;5;28.19369;8.690466;0.2990006;29.50268;0
26.09686;24.56918;-13.74641;2.852812;6;9.571415;-1.426885;-0.1479879;9.677189;11
26.09686;24.56918;-13.74641;2.852812;7;0.9868786;-30.19186;4.745064;30.20798;0
26.12139;24.59713;-13.84048;2.852812;0;11.09534;-48.93972;4.935335;50.1817;0
26.12139;24.59713;-13.84048;2.852812;1;-9.137576;-11.65213;4.047358;14.80768;0
26.12139;24.59713;-13.84048;2.852812;2;29.74924;-38.83129;5.366124;48.91714;0
26.12139;24.59713;-13.84048;2.852812;3;38.29759;-10.06958;-0.2571104;39.59926;0
26.12139;24.59713;-13.84048;2.852812;4;48.40101;-28.72128;5.747631;56.28117;0
26.12139;24.59713;-13.84048;2.852812;5;28.19372;8.587667;0.2956671;29.47259;0
26.12139;24.59713;-13.84048;2.852812;6;9.571282;-1.530073;-0.1585196;9.69281;12
26.12139;24.59713;-13.84048;2.852812;7;0.9868812;-30.29458;4.744954;30.31065;0
26.14737;24.62672;-13.94008;2.852812;0;11.09534;-49.03783;4.934903;50.27739;0
26.14737;24.62672;-13.94008;2.852812;1;-9.137402;-11.75021;4.051434;14.88488;0
26.14737;24.62672;-13.94008;2.852812;2;29.74922;-38.92942;5.364906;48.99506;0
